asset_id,label,category,source_filename,source_location_note,source_kind,width,height,preview_path,sha256_original_prefix,privacy_class,status,metadata_note
mv-gp-011,Website asset checklist and file-guide reference 011,asset-checklist-reference,"ChatGPT Image Jun 2, 2026, 01_06_41 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,977,1610,asset-library/google-photos-maxwell/previews/mv-gp-011-asset-checklist-reference.webp,c90777b3b9729ab2,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-012,Website asset checklist and file-guide reference 012,asset-checklist-reference,"ChatGPT Image Jun 2, 2026, 01_13_49 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1103,1426,asset-library/google-photos-maxwell/previews/mv-gp-012-asset-checklist-reference.webp,cfbbc3ec57575ff6,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-013,Gold evergreen crest and monogram candidate 013,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_06 PM (1).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-013-logo-crest-candidate.webp,39a81199cbc93194,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-014,Gold evergreen crest and monogram candidate 014,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_06 PM (2).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-014-logo-crest-candidate.webp,02387e22b41d2927,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-015,Gold evergreen crest and monogram candidate 015,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_06 PM (3).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-015-logo-crest-candidate.webp,48b02ea347c41ab9,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-016,Gold evergreen crest and monogram candidate 016,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_07 PM (4).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-016-logo-crest-candidate.webp,6bf93c04bda00d12,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-017,Gold evergreen crest and monogram candidate 017,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_07 PM (5).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-017-logo-crest-candidate.webp,d8aa02b671526850,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-018,Gold evergreen crest and monogram candidate 018,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_07 PM (6).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-018-logo-crest-candidate.webp,bbcf7bf9551cd059,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-019,Gold evergreen crest and monogram candidate 019,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_08 PM (7).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-019-logo-crest-candidate.webp,c72aceeb769af365,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-020,Gold evergreen crest and monogram candidate 020,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_08 PM (8).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-020-logo-crest-candidate.webp,0dde5e065fb5de98,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-021,Gold evergreen crest and monogram candidate 021,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_08 PM (9).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-021-logo-crest-candidate.webp,d7685ef8c83e215e,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-022,Gold evergreen crest and monogram candidate 022,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_10 PM (10).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-022-logo-crest-candidate.webp,fee0e6fd1981dd78,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-023,Gold evergreen crest and monogram candidate 023,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_38 PM (1).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-023-logo-crest-candidate.webp,39a81199cbc93194,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-024,Gold evergreen crest and monogram candidate 024,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_38 PM (2).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-024-logo-crest-candidate.webp,02387e22b41d2927,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-025,Gold evergreen crest and monogram candidate 025,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_38 PM (3).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-025-logo-crest-candidate.webp,48b02ea347c41ab9,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-026,Gold evergreen crest and monogram candidate 026,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_38 PM (4).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-026-logo-crest-candidate.webp,6bf93c04bda00d12,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-027,Gold evergreen crest and monogram candidate 027,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_39 PM (5).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-027-logo-crest-candidate.webp,d8aa02b671526850,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-028,Gold evergreen crest and monogram candidate 028,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_39 PM (6).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-028-logo-crest-candidate.webp,bbcf7bf9551cd059,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-029,Gold evergreen crest and monogram candidate 029,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_39 PM (7).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-029-logo-crest-candidate.webp,c72aceeb769af365,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-030,Gold evergreen crest and monogram candidate 030,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_40 PM (10).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-030-logo-crest-candidate.webp,fee0e6fd1981dd78,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-031,Gold evergreen crest and monogram candidate 031,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_40 PM (8).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-031-logo-crest-candidate.webp,0dde5e065fb5de98,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-032,Gold evergreen crest and monogram candidate 032,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 01_51_40 PM (9).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-032-logo-crest-candidate.webp,d7685ef8c83e215e,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-033,Gold evergreen crest and monogram candidate 033,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 02_00_21 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-033-logo-crest-candidate.webp,3abafe525283d64e,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-034,Gold evergreen crest and monogram candidate 034,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 02_04_03 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-034-logo-crest-candidate.webp,b5ff956c06b7b718,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-035,Website and campaign mockup with team and brand system 035,website-mockup-campaign,"ChatGPT Image Jun 2, 2026, 02_05_12 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1122,1402,asset-library/google-photos-maxwell/previews/mv-gp-035-website-mockup-campaign.webp,4183c06799ada594,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-036,Website and campaign mockup with team and brand system 036,website-mockup-campaign,"ChatGPT Image Jun 2, 2026, 02_10_46 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1536,1024,asset-library/google-photos-maxwell/previews/mv-gp-036-website-mockup-campaign.webp,99c71f4b0bd0bf1c,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-037,Website and campaign mockup with team and brand system 037,website-mockup-campaign,"ChatGPT Image Jun 2, 2026, 02_20_52 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1122,1402,asset-library/google-photos-maxwell/previews/mv-gp-037-website-mockup-campaign.webp,c6d9fb9069a79685,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-038,Maxwell Ventures wordmark lockup candidate 038,logo-wordmark-candidate,"ChatGPT Image Jun 2, 2026, 02_24_29 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-038-logo-wordmark-candidate.webp,620d2de481829ad3,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-039,Maxwell Ventures wordmark lockup candidate 039,logo-wordmark-candidate,"ChatGPT Image Jun 2, 2026, 02_25_57 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-039-logo-wordmark-candidate.webp,620d2de481829ad3,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-040,Mobile website concept frame 040,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 02_39_44 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-040-mobile-website-concept.webp,a0e12764dbf4b7a6,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-041,Maxwell Ventures generated brand art candidate 041,brand-art-candidate,"ChatGPT Image Jun 2, 2026, 02_56_01 PM (1).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1055,1491,asset-library/google-photos-maxwell/previews/mv-gp-041-brand-art-candidate.webp,f05a89879bc3c6a1,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-042,Maxwell Ventures generated brand art candidate 042,brand-art-candidate,"ChatGPT Image Jun 2, 2026, 02_56_02 PM (2).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1672,941,asset-library/google-photos-maxwell/previews/mv-gp-042-brand-art-candidate.webp,d61098e9747a6ffe,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-043,Maxwell Ventures generated brand art candidate 043,brand-art-candidate,"ChatGPT Image Jun 2, 2026, 02_56_02 PM (3).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1122,1402,asset-library/google-photos-maxwell/previews/mv-gp-043-brand-art-candidate.webp,035d9ad40abbf4aa,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-044,Maxwell Ventures generated brand art candidate 044,brand-art-candidate,"ChatGPT Image Jun 2, 2026, 02_56_02 PM (4).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1122,1402,asset-library/google-photos-maxwell/previews/mv-gp-044-brand-art-candidate.webp,4e24704a92a37f96,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-045,Maxwell Ventures generated brand art candidate 045,brand-art-candidate,"ChatGPT Image Jun 2, 2026, 02_56_03 PM (5).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1122,1402,asset-library/google-photos-maxwell/previews/mv-gp-045-brand-art-candidate.webp,87f2f08bed2abb9b,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-046,Maxwell Ventures generated brand art candidate 046,brand-art-candidate,"ChatGPT Image Jun 2, 2026, 02_56_03 PM (6).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1122,1402,asset-library/google-photos-maxwell/previews/mv-gp-046-brand-art-candidate.webp,b0760e39d6e0e150,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-047,Maxwell Ventures generated brand art candidate 047,brand-art-candidate,"ChatGPT Image Jun 2, 2026, 02_56_03 PM (7).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1672,941,asset-library/google-photos-maxwell/previews/mv-gp-047-brand-art-candidate.webp,48507410d5865e69,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-048,Mobile website concept frame 048,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 02_56_04 PM (8).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-048-mobile-website-concept.webp,a04e2fd872527aa6,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-049,Website and campaign mockup with team and brand system 049,website-mockup-campaign,"ChatGPT Image Jun 2, 2026, 02_56_04 PM (9).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1733,907,asset-library/google-photos-maxwell/previews/mv-gp-049-website-mockup-campaign.webp,7b2eb1eae91d6628,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-050,Website and campaign mockup with team and brand system 050,website-mockup-campaign,"ChatGPT Image Jun 2, 2026, 02_56_05 PM (10).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1448,1086,asset-library/google-photos-maxwell/previews/mv-gp-050-website-mockup-campaign.webp,3a7e501cc9899cab,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-051,Gold evergreen crest and monogram candidate 051,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 03_07_56 PM (1).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-051-logo-crest-candidate.webp,d848c419555c5ec2,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-052,Gold evergreen crest and monogram candidate 052,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 03_07_57 PM (2).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-052-logo-crest-candidate.webp,ce6f02a11522289d,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-053,Maxwell Ventures wordmark lockup candidate 053,logo-wordmark-candidate,"ChatGPT Image Jun 2, 2026, 03_07_58 PM (3).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1536,1024,asset-library/google-photos-maxwell/previews/mv-gp-053-logo-wordmark-candidate.webp,7366c8196cec5583,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-054,Team portrait cutout candidate 054,team-cutout-candidate,"ChatGPT Image Jun 2, 2026, 03_07_59 PM (4).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1024,1536,asset-library/google-photos-maxwell/previews/mv-gp-054-team-cutout-candidate.webp,dab538db9d1cafce,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-055,Team portrait cutout candidate 055,team-cutout-candidate,"ChatGPT Image Jun 2, 2026, 03_08_00 PM (5).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1024,1536,asset-library/google-photos-maxwell/previews/mv-gp-055-team-cutout-candidate.webp,d8669193da0f300c,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-056,Team portrait cutout candidate 056,team-cutout-candidate,"ChatGPT Image Jun 2, 2026, 03_08_00 PM (6).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1024,1536,asset-library/google-photos-maxwell/previews/mv-gp-056-team-cutout-candidate.webp,9277420dd66786d3,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-057,Team portrait cutout candidate 057,team-cutout-candidate,"ChatGPT Image Jun 2, 2026, 03_08_02 PM (7).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1086,1448,asset-library/google-photos-maxwell/previews/mv-gp-057-team-cutout-candidate.webp,864fd2f873e9cff0,owner-review,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-058,Gold evergreen crest and monogram candidate 058,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 03_08_02 PM (8).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-058-logo-crest-candidate.webp,f9850eec664259b1,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-059,Gold evergreen crest and monogram candidate 059,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 03_08_03 PM (9).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-059-logo-crest-candidate.webp,39f1f3538a5e6fd5,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-060,Gold evergreen crest and monogram candidate 060,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 03_08_04 PM (10).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-060-logo-crest-candidate.webp,c1cd585d0db183d9,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-061,Gold evergreen crest and monogram candidate 061,logo-crest-candidate,"ChatGPT Image Jun 2, 2026, 03_42_23 PM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1254,1254,asset-library/google-photos-maxwell/previews/mv-gp-061-logo-crest-candidate.webp,856a24ba01f6ec1f,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-062,Mobile website concept frame 062,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 06_38_38 AM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-062-mobile-website-concept.webp,f573c610df7300a5,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-063,Mobile website concept frame 063,mobile-website-concept,"ChatGPT Image Jun 2, 2026, 07_47_49 AM.png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,941,1672,asset-library/google-photos-maxwell/previews/mv-gp-063-mobile-website-concept.webp,3c63a2056d30b4a1,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
mv-gp-064,Pacific Northwest coastal campaign artwork 064,pnw-campaign-art,"ChatGPT Image Jun 2, 2026, 11_26_34 PM (1).png",local image export retained off-repo,local export from Google Photos / ChatGPT image generation,1672,941,asset-library/google-photos-maxwell/previews/mv-gp-064-pnw-campaign-art.webp,17c81dcff2430f87,public-candidate,candidate-needs-owner-review,"Preview derivative was re-encoded; do not commit raw Google Photos links, IDs, EXIF, or GPS metadata."
